"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Peter Aluma",119,87,27.4,5.3,10.1,0.528,5.3,10,0.53,0,0,0,3.8,5.7,0.666,NA,NA,5.7,0.7,0.9,3.1,NA,NA,14.4,-6.42,0
"John Amaechi",108,84,29.1,4,7.8,0.514,3.8,7.1,0.532,0.2,0.6,0.304,4.5,6.6,0.69,NA,NA,7.5,1.1,0.7,1.9,2.3,2.1,12.7,8.01,0
"Ashraf Amaya",128,120,32.2,5.3,9.4,0.567,5.2,9,0.581,0.1,0.4,0.229,3.8,5.8,0.659,NA,NA,8.9,0.6,1.1,1.2,1.9,3.3,14.6,0.72,0
"Al-Farouq Aminu",62,60,30.1,5,10.6,0.476,4.6,8.9,0.522,0.4,1.7,0.238,3.9,5.7,0.687,3.3,6.1,9.4,1.4,1.2,1.3,2.9,2.8,14.4,8.1,0
"Alan Anderson",126,110,26.8,3,6.1,0.503,2.7,5,0.532,0.4,1,0.366,3,3.6,0.831,1.2,2.9,4.2,2.4,0.8,0.2,2.3,2.6,9.5,8.78,0
"Antonio Anderson",150,133,29.8,2.9,6.9,0.418,2,3.9,0.501,0.9,3,0.308,1.8,2.8,0.648,1,3,4,3.6,1.4,0.3,1.6,1.8,8.5,4.63,0
"Derek Anderson",99,70,24.9,4.1,8.5,0.482,3.2,6,0.532,0.9,2.5,0.364,3.2,4,0.805,NA,NA,3.8,3.2,1.9,0.2,2,2.5,12.4,10.5,0
"Dwight Anderson",79,9,31,6,12.4,0.488,NA,NA,NA,NA,NA,NA,4.2,5.8,0.725,NA,NA,3.6,2.3,NA,NA,NA,2.5,16.3,7.1,0
"Eric Anderson",131,118,29.8,4.8,9.4,0.515,4.7,9,0.521,0.2,0.4,0.396,3.2,4.4,0.734,NA,NA,6.3,0.9,0.6,1,1.6,2.8,13.1,10.96,0
"Greg Anderson",123,60,28.1,5.5,10,0.55,NA,NA,0.526,NA,NA,NA,2.5,4.4,0.576,NA,NA,8.5,0.5,1.1,1.8,2.1,2.6,13.5,4.6,0
"James Anderson",87,1,6.3,0.7,1.4,0.463,0.7,1.4,0.463,0,0,NA,0.3,0.7,0.39,0.5,0.7,1.3,0.2,0.1,0.4,0.2,1.6,1.6,4.3,0
"Justin Anderson",98,44,24.1,2.9,6.8,0.43,1.9,4.1,0.481,1,2.8,0.357,2,2.7,0.752,0.8,2.7,3.5,1.8,0.6,0.9,1.3,1.4,8.9,6.64,0
"Kenny Anderson",65,64,38.3,8.6,18.2,0.473,6.9,13.6,0.507,1.7,4.6,0.374,4,5.1,0.787,NA,NA,5.6,7,2.6,0.1,3.9,2.1,23,10.58,1
"Michael Anderson",115,NA,35.2,6.3,13.1,0.478,NA,NA,0.485,NA,NA,0.401,6.1,8.3,0.736,NA,NA,6,6.3,3,0.4,4.4,3.3,19.2,-6.68,0
"Nick Anderson",69,57,29.5,7,12.7,0.553,6.7,11.7,0.57,0.4,1,0.361,2.6,3.9,0.657,NA,NA,7.3,1.8,1.4,0.9,1.7,2,17,11.12,0
"Richard Anderson",100,4,26.7,5.1,11.2,0.454,NA,NA,NA,NA,NA,NA,2.2,3.1,0.718,NA,NA,7.7,NA,1.1,0.8,2.5,3.1,12.5,0.89,0
"Ron Anderson",68,NA,36.8,7.1,12.7,0.56,NA,NA,0.551,NA,NA,0,2.7,3.4,0.802,NA,NA,5.9,2.1,1.5,0.5,2.1,2.5,16.9,3.67,0
"Ryan Anderson",66,66,33,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5,0.841,2.7,6.3,9,1,0.5,0.5,1.8,2.5,18.7,8.56,0
"Shandon Anderson",118,89,26.7,4.9,9.9,0.498,4.5,8.5,0.532,0.4,1.4,0.291,2.6,4.1,0.634,NA,NA,5,2.7,1.8,0.3,2.9,2.5,12.9,7.93,0
"Willie Anderson",107,29,26,5.1,10.2,0.501,NA,NA,0.525,NA,NA,0.324,2.1,2.6,0.784,NA,NA,3.9,3.1,1.3,1.1,2.8,2.4,12.6,7.91,0
"Ike Anigbogu",29,0,13,2,3.5,0.564,2,3.5,0.564,0,0,NA,0.8,1.5,0.535,1.4,2.6,4,0.2,0.2,1.2,0.8,2.5,4.7,6.39,0
"Michael Ansley",128,98,29.2,5.5,9.5,0.577,NA,NA,0.575,NA,NA,0.2,2.6,3.7,0.713,NA,NA,7.6,0.6,0.5,0.1,1.8,2.8,13.7,6.95,0
"Carmelo Anthony",35,35,36.4,7.9,17.5,0.453,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,2.9,7.1,10,2.2,1.6,0.9,2.2,2.2,22.2,9.02,1
"Greg Anthony",138,100,30.5,4.3,9.7,0.437,3,6.5,0.467,1.2,3.3,0.379,2.8,4,0.707,NA,NA,3.1,6.9,2.4,0.3,2.7,2.5,12.6,5.52,0
"Joel Anthony",68,9,16.1,1.5,2.6,0.573,1.5,2.6,0.573,0,0,NA,0.7,1.2,0.561,1.5,2,3.5,0.3,0.4,2.3,0.6,2.2,3.7,5.49,0
"OG Anunoby",50,10,17.4,2.7,4.8,0.563,2.1,3.3,0.652,0.5,1.5,0.365,0.9,1.8,0.522,1.4,2.1,3.5,0.8,1,0.9,1.1,1.7,6.8,7.53,0
"Keith Appling",142,124,29.8,3.5,8,0.431,2.5,5.1,0.486,1,2.9,0.334,2.7,3.7,0.748,0.4,2.6,3,3.3,1.1,0.5,2.1,2.4,10.6,10.35,0
"Rafael Araujo",62,62,27.4,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.8,0
"Robert Archibald",130,61,16.2,2,3.5,0.57,2,3.5,0.571,0,0,0,2.2,3.2,0.681,NA,NA,4.1,0.8,0.5,0.6,1.6,3,6.2,10.7,0
"Tiny Archibald",73,NA,NA,7,13.8,0.507,NA,NA,NA,NA,NA,NA,6,7.7,0.785,NA,NA,3,NA,NA,NA,NA,2.2,20,2.63,0
"Ryan Arcidiacono",144,142,31.9,3.4,8.5,0.397,1.6,3.5,0.453,1.8,5.1,0.358,2.6,3.2,0.8,0.3,2,2.3,3.7,1.2,0,1.8,2,11.1,8.32,0
"Gilbert Arenas",70,64,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3,4,0.738,1,2.9,3.8,2.2,1.9,0.2,2.7,2.4,15.8,11.13,1
"Trevor Ariza",25,23,31.6,4.3,10,0.426,3.6,7,0.509,0.7,3,0.237,2.3,4.5,0.504,2.4,4,6.5,2.1,1.7,0.4,3.2,2.8,11.6,6.82,0
"Paul Arizin",80,NA,NA,7.1,6.6,1.083,NA,NA,NA,NA,NA,NA,5.7,7.6,0.745,NA,NA,NA,NA,NA,NA,NA,2.8,20,0.11,1
"Joe Arlauckas",112,NA,28.7,6.1,12.1,0.507,NA,NA,0.532,NA,NA,0.25,2.1,3.2,0.644,NA,NA,7.3,1.6,0.6,1.9,1.8,2.2,14.4,-4.62,0
"Brandon Armstrong",65,64,30.4,6.6,15.1,0.439,4.4,9.5,0.467,2.2,5.6,0.391,2.7,3.2,0.824,1.2,2,3.2,1.5,1.7,0.2,1.9,2.6,18.1,2.56,0
"Hilton Armstrong",131,56,15.1,1.7,3.1,0.563,1.7,3.1,0.565,0,0,0.333,1.2,2.1,0.578,1.3,2.6,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.4,0
"Darrell Arthur",78,46,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0,0.2,0.118,1.8,2.7,0.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,7.53,0
"Jamel Artis",135,98,27.6,4.3,9.1,0.47,3,5.8,0.524,1.3,3.3,0.378,2.7,3.6,0.759,1.4,3.3,4.6,2.3,0.5,0.3,1.9,1.8,12.6,8.68,0
"Vincent Askew",103,65,33.3,4.4,8.9,0.492,NA,NA,0.496,NA,NA,0.381,2.4,3.2,0.751,NA,NA,5,3.9,1.1,0.1,2.3,1.6,11.4,5.17,0
"Keith Askins",128,38,23.1,2.3,5.2,0.453,1.5,3.1,0.49,0.8,2.1,0.4,1.1,1.7,0.658,NA,NA,4.3,0.7,0.7,0.4,1.1,2.4,6.7,6.12,0
"Chucky Atkins",111,52,34.1,4.7,11.6,0.41,2.5,5.5,0.462,2.2,6.1,0.362,2.9,3.9,0.737,NA,NA,3,4.7,1,0.1,3.1,1.9,14.6,3.93,0
"Stacey Augmon",145,75,29.5,5.2,9.4,0.555,4.6,7.8,0.583,0.7,1.6,0.42,2.8,4.1,0.677,NA,NA,6.9,3,1.9,0.9,2.2,2.6,13.9,6.52,0
"James Augustine",137,134,27.1,3.9,6.3,0.617,3.9,6.2,0.623,0,0.1,0.333,2.3,3.3,0.687,2.6,4.9,7.5,1.1,1,1,1.5,2.6,10.1,7.15,0
"Isaac Austin",61,NA,28.8,5.8,10.3,0.559,5.8,10.3,0.561,0,0,0,3.4,5.4,0.637,NA,NA,7.4,1.4,0.8,0.7,2.5,2.9,15,7.97,0
"Ken Austin",91,NA,30,4.2,8.6,0.486,NA,NA,NA,NA,NA,NA,2,3.4,0.59,NA,NA,6.6,1.9,1.3,0.5,2.6,3.7,10.3,3.46,0
"Anthony Avent",100,63,23.5,4.2,7.9,0.527,4.2,7.9,0.527,0,0,NA,2.4,3.4,0.701,NA,NA,7.1,1.1,0.5,1.2,2.1,2.8,10.7,9.85,0
"William Avery",74,39,25.5,4.1,8.7,0.47,2.6,4.8,0.554,1.5,4,0.369,2.2,2.8,0.784,NA,NA,2.8,3.8,1.2,0,2.2,1.9,11.9,9.72,0
"Dennis Awtrey",84,NA,NA,7.7,13.3,0.578,NA,NA,NA,NA,NA,NA,4.6,6.4,0.715,NA,NA,13.5,NA,NA,NA,NA,2.5,19.9,-1.89,0
"Kelenna Azubuike",97,65,22.4,3.6,7.5,0.485,2.7,4.9,0.545,1,2.6,0.373,1.7,2.3,0.752,1.5,2.3,3.7,1,0.7,0.3,1.3,1.6,10,8.66,0
"Chris Babb",130,90,26.5,2.3,6.2,0.377,0.6,1.5,0.434,1.7,4.7,0.359,0.9,1.2,0.733,0.7,2.3,3,1.7,0.8,0.2,0.8,1.1,7.2,6.37,0
"Luke Babbitt",68,68,34.9,6.5,13.6,0.48,5.4,11,0.494,1.1,2.6,0.421,5.2,5.8,0.893,2,6.2,8.1,1.8,0.9,0.8,2.1,2.2,19.4,1.98,0
"Milos Babic",80,NA,26.8,4.8,10.3,0.468,4.8,10.2,0.469,0,0.1,0.286,2.6,3.8,0.667,NA,NA,7.5,0.9,0.8,1.4,3,3.2,12.2,-3.31,0
"Dwayne Bacon",69,67,28.8,6.1,13.5,0.449,4.8,9.3,0.51,1.3,4.1,0.312,3.1,4.2,0.733,1.2,3.8,5,1.6,1,0.1,2.1,1.9,16.5,8.52,0
"John Bagley",91,60,32.7,6.5,13.2,0.496,NA,NA,NA,NA,NA,NA,4.8,6.2,0.778,NA,NA,3.6,3.2,1.7,0.1,3.9,2.3,17.9,3.43,0
"Gus Bailey",76,NA,NA,4.4,8.7,0.511,NA,NA,NA,NA,NA,NA,3.5,5.8,0.595,NA,NA,5.8,NA,NA,NA,NA,2.2,12.3,4.92,0
"James Bailey",122,117,31.2,7,12.8,0.545,NA,NA,NA,NA,NA,NA,2.8,4.2,0.655,NA,NA,8.8,0.8,1.4,2.5,NA,2.9,16.7,0.42,0
"Thurl Bailey",123,NA,31,5,9.7,0.513,NA,NA,0.496,NA,NA,0.667,2.1,2.9,0.745,NA,NA,6.2,0.8,0.5,1.7,NA,2.3,12.2,6.56,0
"Toby Bailey",129,108,32.7,5.3,11.5,0.459,3.9,7.6,0.519,1.3,3.9,0.341,2.5,3.7,0.667,NA,NA,5.2,3.6,1.1,0.4,3.1,2.4,14.3,9.7,0
"Cameron Bairstow",134,55,20.8,3.1,6,0.517,3.1,6,0.519,0,0,0.333,3,4.2,0.717,1.7,3,4.8,0.8,0.5,0.7,1.2,2.1,9.2,4.92,0
"Maurice Baker",59,53,33.7,5.6,11.7,0.481,3.8,7.1,0.539,1.8,4.6,0.391,3.3,4,0.819,2.4,3.7,6.1,3.8,1.7,0.2,3.5,2.2,16.4,5.77,0
"Ron Baker",124,121,30.6,4.2,9.7,0.433,2.3,4.4,0.509,2,5.3,0.369,2.8,3.5,0.801,0.8,3.4,4.2,2.8,1.3,0.6,1.4,1.7,13.2,3.94,0
"Vin Baker",112,84,29.4,7.7,16.2,0.475,7,14,0.502,0.7,2.2,0.3,4,6.2,0.637,NA,NA,8.5,1,1,2.5,2.5,3,20,-6.08,1
"Wade Baldwin",68,54,29.6,3.4,8,0.431,2.2,5.1,0.436,1.2,2.9,0.422,3.5,4.4,0.8,0.4,3.6,4.1,4.8,1.3,0.2,2.3,2.5,11.6,7.45,0
"Renaldo Balkman",104,40,21.1,3,5.5,0.553,2.9,5,0.581,0.2,0.5,0.291,1.2,2.2,0.533,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11,0
"Cedric Ball",88,83,25.5,3.8,6.7,0.569,3.8,6.7,0.57,0,0,0,2.6,4.3,0.599,NA,NA,7.4,0.6,0.7,0.6,1.8,2.9,10.2,1.22,0
"Lonzo Ball",36,36,35.1,5.3,9.5,0.551,3,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6,7.6,1.8,0.8,2.5,1.8,14.6,6.39,0
"Greg Ballard",115,NA,31.5,5.9,11.5,0.51,NA,NA,NA,NA,NA,NA,4.2,5.4,0.778,NA,NA,9.7,1.9,NA,NA,NA,3.4,15.9,6.56,0
"Gene Banks",124,NA,34.4,6.7,12.6,0.531,NA,NA,NA,NA,NA,NA,3.4,4.8,0.722,NA,NA,7.9,2.9,1.4,0.3,3.5,2.7,16.8,8.05,0
"Marcus Banks",63,63,34.3,6,12.2,0.495,5,9.1,0.551,1,3.1,0.33,5,6.8,0.731,0.8,2.6,3.3,4.3,2.5,0.2,3.6,2.9,18.1,4.77,0
"Mike Bantom",84,NA,34.7,7.8,16.4,0.476,NA,NA,NA,NA,NA,NA,4.4,6.3,0.697,NA,NA,13.7,1.7,1.5,NA,NA,3.2,20,1.81,0
"Steve Bardo",129,90,26.3,2.4,5.6,0.439,2,4.5,0.436,0.5,1,0.455,1.7,2.4,0.701,NA,NA,4.3,3.8,1,0.3,2,2.5,7,10.18,0
"Charles Barkley",84,69,27.6,5.6,8.9,0.626,NA,NA,NA,NA,NA,NA,3,4.5,0.652,NA,NA,9.6,1.6,0.9,1.7,2.4,3.5,14.1,7.87,1
"Erick Barkley",65,64,34.8,4.9,12.3,0.396,3.2,7.2,0.444,1.6,5,0.328,3.2,4.4,0.727,NA,NA,3.1,4.6,2.6,0.3,2.2,2.4,14.6,8.01,0
"Harrison Barnes",75,73,29.3,5.8,13.6,0.43,4.3,9.1,0.469,1.5,4.4,0.349,3.1,4.3,0.734,2,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,8.61,0
"Marvin Barnes",89,NA,35.2,8.7,16.8,0.515,NA,NA,NA,NA,NA,NA,3.4,5,0.67,NA,NA,17.9,2.7,NA,NA,NA,3.3,20.7,1.43,0
"Matt Barnes",121,66,22.6,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.566,NA,NA,4.8,2,1,0.4,2,2.2,8.8,10.45,0
"Andre Barrett",122,122,35.2,5.1,12.4,0.415,3.1,6.7,0.469,2,5.7,0.351,3,3.9,0.773,0.9,2.8,3.7,5.4,1.4,0.1,2.9,1.9,15.3,7.17,0
"Earl Barron",128,63,19.8,2.8,5.9,0.479,2.8,5.7,0.489,0,0.2,0.174,2.2,3.2,0.685,2.2,2.6,4.9,0.7,0.4,1,1.3,3,7.8,5.69,0
"Dana Barros",119,57,36.6,6.9,14.6,0.473,NA,NA,0.508,NA,NA,0.432,3.4,4,0.841,NA,NA,3.2,3.7,1.5,0.1,2.2,1.8,19.7,6.24,1
"Brent Barry",108,57,28.9,4,8.4,0.48,2.8,4.9,0.575,1.2,3.5,0.345,2.8,3.5,0.794,NA,NA,3.7,3.3,1.8,0.6,2.9,2.5,12.1,9.14,0
"Drew Barry",117,98,33.4,3.5,7.8,0.447,2,3.7,0.535,1.5,4.1,0.369,2.2,2.8,0.778,NA,NA,4.1,6.2,1.6,0.4,3.1,1.8,10.7,10.33,0
"Jon Barry",94,90,33.3,5.1,12.1,0.421,3,6.5,0.465,2.1,5.7,0.371,2.1,2.9,0.717,NA,NA,3.6,4.5,1.7,0.3,2.9,2,14.4,9.04,0
